Show,Aka,Pieces,Sources (collection/box/folder),Number of events,Category
Caribbean Rhapsody,"{'A Caribbean Rhapsody', 'Rhapsodie Caraïbe', 'Rapsodia Caribe'}","{'Veracruzana', 'Americana'}",SIU Programs Box 85-86,20,Show
Tropical Carnival,set(),"{'Veracruzana', 'Americana'}",SIU Programs Box 85-86,4,Show
