Work,Aka,Category,Pieces,Larger_works,Sources (collection/box/folder),Number of events documented as Piece,Number of events documented as Container
Americana,{'America'},Main,{'Veracruzana'},{'n/a'},SIU Programs Box 85-86; Rhoda Winter Russell Papers circa 1932-2010 (bulk 1942-1959) 2.4; SIU Box 16 Folder 2; SIU Box 16 Folder 4; SIU 23 Folder 7; SIU Box 19 Folder 5; ,0,52
Veracruzana,set(),Main,set(),"{'Americana', 'n/a'}","SIU Programs Box 85-86; Rhoda Winter Russell Papers circa 1932-2010 (bulk 1942-1959) 2.4; Beckford, Ruth. Katherine Dunham: A Biography. NYC: Marcel Dekker, 1979.; SIU Box 23 Folder 7; SIU Box 19 folder 1; NYPL Winter Russell Papers 2.4; MHS Box 53; SIU Box 25 folder 8; SIU Box 23 Folder 1; SIU Box 23 Folder 7; SIU Box 14 Folder 2; SIU Box 18 Folder 8; SIU Box 19 Folder 1; SIU Box 19 Folder 5; ",65,0
